transaction_id,customer_id,flight_destination,flight_date,n_guests,booking_date,total_spend,flight_type
44,19,Domestic,2022-05-28,1,2022-05-08,1000,Open Jaw
45,19,Domestic,2022-12-03,4,2022-11-07,1000,One-way
46,20,Domestic,2022-11-11,1,2022-10-26,2598.470361,One-way
47,20,Domestic,2022-04-24,1,2022-04-11,1000,One-way
48,20,Domestic,2022-11-17,1,2022-10-29,4522.451376,One-way
49,21,Short Haul,2022-05-15,1,2022-03-19,3250.499492,One-way
50,21,Short Haul,2022-05-09,1,2022-03-16,10817.89518,Round-Trip
51,21,Short Haul,2022-05-08,1,2022-02-20,7912.293766,Open Jaw
52,22,Long Haul,2022-10-20,3,2022-08-17,23243.92504,One-way
53,22,Domestic,2022-12-07,3,2022-11-17,3036.287205,One-way
54,23,Domestic,2022-04-28,1,2022-04-16,6657.147939,Round-Trip
55,24,Short Haul,2022-05-02,1,2022-03-03,4788.166682,One-way
56,24,Domestic,2022-05-05,4,2022-04-22,4180.014935,Round-Trip
57,24,Long Haul,2022-11-21,1,2022-09-28,14957.90968,Round-Trip
58,25,Domestic,2022-05-19,2,2022-05-04,1337.746109,One-way
59,26,Domestic,2022-11-06,2,2022-10-25,4772.051637,One-way
60,27,Short Haul,2022-06-12,3,2022-04-15,29305.08948,One-way
61,27,Long Haul,2022-11-26,1,2022-09-23,8229.569343,One-way
62,28,Domestic,2022-04-18,1,2022-03-31,2021.751549,Open Jaw
63,29,Long Haul,2022-11-29,3,2022-09-24,61991.69109,Open Jaw
64,29,Long Haul,2022-05-14,2,2022-03-14,25579.04685,One-way
65,29,Domestic,2022-12-02,1,2022-11-18,2391.794798,One-way
66,30,Short Haul,2022-06-23,1,2022-05-02,7472.321269,One-way
67,30,Short Haul,2022-12-01,1,2022-09-24,17686.83278,Round-Trip
68,31,Short Haul,2022-05-17,1,2022-03-09,6848.547738,Round-Trip
69,31,Domestic,2022-05-25,3,2022-05-01,3540.327684,One-way
70,31,Long Haul,2022-11-09,1,2022-09-12,18470.2573,Round-Trip
71,32,Domestic,2022-05-26,3,2022-05-16,10741.28159,One-way
72,33,Short Haul,2022-11-23,1,2022-10-06,4635.584149,One-way
73,33,Long Haul,2022-11-10,3,2022-09-16,33796.39402,One-way
74,34,Long Haul,2022-11-30,2,2022-09-21,15767.10796,One-way
75,35,Domestic,2022-11-13,1,2022-10-25,4676.859001,One-way
76,35,Domestic,2022-11-06,1,2022-10-24,1546.317312,One-way
77,36,Short Haul,2022-05-16,3,2022-03-19,12965.71717,One-way
78,36,Short Haul,2022-11-24,2,2022-09-24,7933.731755,One-way
79,36,Long Haul,2022-12-28,2,2022-11-10,11885.45222,One-way
80,37,Domestic,2022-06-07,3,2022-05-27,4013.605101,One-way
81,38,Domestic,2022-04-30,1,2022-04-16,1000,One-way
82,38,Short Haul,2022-11-21,1,2022-09-21,6918.316609,One-way
83,39,Domestic,2022-05-09,1,2022-04-24,1000,One-way
84,39,Long Haul,2022-12-30,2,2022-11-05,21116.38996,One-way
85,40,Short Haul,2022-05-23,1,2022-03-06,11529.62957,Round-Trip
86,40,Short Haul,2022-04-24,3,2022-02-13,11141.74352,One-way
87,40,Domestic,2022-05-02,1,2022-04-15,1000,Round-Trip
88,41,Long Haul,2022-11-12,1,2022-09-15,9250.69488,One-way
89,42,Short Haul,2022-05-20,1,2022-03-07,4408.264592,One-way
90,42,Long Haul,2022-11-25,1,2022-09-27,26235.31159,Round-Trip
91,43,Domestic,2022-05-14,3,2022-04-25,2825.571566,One-way
92,43,Domestic,2022-05-20,1,2022-05-03,2442.800828,One-way
93,43,Domestic,2022-11-10,8,2022-11-02,4748.462795,One-way
94,44,Domestic,2022-11-13,1,2022-10-29,1458.024388,One-way
95,44,Short Haul,2022-04-27,1,2022-02-24,9136.505561,Round-Trip
96,44,Domestic,2022-12-05,5,2022-11-15,16855.27874,Round-Trip
97,45,Domestic,2022-11-12,2,2022-10-28,8074.39884,Round-Trip
98,45,Domestic,2022-04-25,3,2022-04-09,15607.4515,Round-Trip
99,46,Domestic,2022-10-26,3,2022-10-08,11794.48082,Open Jaw
100,47,Short Haul,2022-11-10,1,2022-08-28,7040.641762,One-way
101,47,Domestic,2022-05-24,1,2022-05-10,1239.669007,One-way
102,48,Domestic,2022-05-22,7,2022-05-01,8965.568733,One-way
103,48,Domestic,2022-05-25,4,2022-04-22,3852.02508,One-way
104,49,Short Haul,2022-11-10,3,2022-09-15,6539.287007,One-way
105,50,Short Haul,2022-05-05,1,2022-03-07,13462.05634,Round-Trip
106,51,Long Haul,2022-12-10,1,2022-10-21,14864.46832,One-way
107,52,Long Haul,2022-12-09,4,2022-10-13,23965.92008,One-way
108,53,Domestic,2022-06-12,2,2022-05-29,1489.634205,Round-Trip
109,53,Long Haul,2022-11-29,2,2022-10-09,13622.43824,One-way
110,54,Short Haul,2022-05-03,1,2022-03-20,4980.944609,One-way
111,55,Domestic,2022-10-15,1,2022-09-25,1000,One-way
112,55,Domestic,2022-11-07,1,2022-10-24,1000,One-way
113,56,Domestic,2022-11-09,1,2022-10-21,1070.608233,One-way
114,56,Domestic,2022-11-19,6,2022-11-03,29359.12055,Round-Trip
115,56,Domestic,2022-12-17,1,2022-11-23,8263.823726,Round-Trip
116,57,Long Haul,2022-11-20,3,2022-09-12,43251.67588,Round-Trip
117,57,Domestic,2022-11-26,1,2022-11-16,1785.719876,One-way
118,58,Short Haul,2022-03-31,1,2022-02-11,6004.281834,One-way
119,58,Long Haul,2022-12-21,1,2022-10-17,25908.08229,Open Jaw
120,59,Domestic,2022-05-13,1,2022-04-29,6024.515831,Round-Trip
121,59,Domestic,2022-09-27,5,2022-09-09,1860.287187,One-way
122,59,Domestic,2022-06-19,3,2022-05-31,4826.167787,One-way
123,59,Domestic,2022-10-16,3,2022-10-02,11950.36173,Open Jaw
124,60,Domestic,2022-11-07,3,2022-10-21,3492.003548,One-way
125,61,Long Haul,2022-04-25,4,2022-02-20,39769.55282,One-way
126,61,Long Haul,2022-06-08,4,2022-03-31,62804.14612,One-way
127,61,Domestic,2022-05-21,4,2022-05-10,23584.39111,Open Jaw
128,61,Domestic,2022-05-22,5,2022-05-10,5912.989026,Round-Trip
129,62,Domestic,2022-05-19,4,2022-05-06,14713.9603,Round-Trip
130,62,Short Haul,2022-11-21,3,2022-09-20,13633.31883,One-way
131,63,Domestic,2022-05-15,2,2022-04-29,5165.572799,One-way
132,64,Short Haul,2022-11-09,1,2022-09-01,5126.655444,One-way
133,65,Domestic,2022-05-21,1,2022-05-10,2820.537159,One-way
134,65,Short Haul,2022-11-13,1,2022-09-24,12836.62088,Round-Trip
135,66,Domestic,2022-04-03,1,2022-03-24,2970.775512,One-way
136,66,Long Haul,2022-11-23,1,2022-09-15,19202.51727,Round-Trip
137,66,Short Haul,2022-04-11,5,2022-01-31,41484.32638,One-way
138,67,Domestic,2022-10-12,3,2022-09-26,2717.87812,One-way
139,67,Domestic,2022-12-27,4,2022-12-14,5574.777336,One-way
140,67,Short Haul,2022-12-17,3,2022-10-14,28763.20325,Open Jaw
141,68,Short Haul,2022-11-10,2,2022-09-12,23546.97829,Round-Trip
142,69,Domestic,2022-11-10,3,2022-10-28,16570.97012,Round-Trip
143,69,Short Haul,2022-05-05,1,2022-03-03,4085.514309,One-way
144,70,Domestic,2022-12-14,1,2022-11-30,3508.24362,One-way
145,71,Long Haul,2022-04-14,4,2022-02-14,122237.3082,Round-Trip
146,71,Domestic,2022-11-10,3,2022-10-24,8507.49841,Open Jaw
147,71,Domestic,2022-12-17,2,2022-12-01,4026.635467,One-way
148,72,Short Haul,2022-04-30,1,2022-03-08,7406.106965,One-way
149,73,Domestic,2022-10-29,1,2022-10-15,4892.421413,Round-Trip
150,73,Domestic,2022-11-28,7,2022-11-07,16636.33387,One-way
151,73,Domestic,2022-11-03,3,2022-10-15,2079.144202,One-way
152,74,Long Haul,2022-12-05,1,2022-09-23,21301.5868,Open Jaw
153,74,Short Haul,2022-10-28,4,2022-08-24,34184.34876,One-way
154,75,Short Haul,2022-11-21,1,2022-09-22,11063.88079,Open Jaw
155,75,Domestic,2022-05-19,1,2022-05-10,2032.198629,One-way
156,75,Short Haul,2022-05-14,1,2022-03-10,8863.914537,Round-Trip
157,76,Short Haul,2022-11-17,6,2022-09-27,42616.67723,One-way
158,77,Domestic,2022-05-27,3,2022-05-04,5418.690415,One-way
159,77,Long Haul,2022-11-26,2,2022-10-13,16155.77086,One-way
160,78,Domestic,2022-05-02,5,2022-04-21,6794.918046,One-way
161,78,Domestic,2022-04-24,4,2022-04-10,6761.229455,One-way
162,79,Domestic,2022-06-04,1,2022-05-18,1000,One-way
163,80,Short Haul,2022-11-14,2,2022-09-06,29410.11201,Round-Trip
164,80,Domestic,2022-04-10,3,2022-03-18,1967.644866,One-way
165,80,Long Haul,2022-04-30,3,2022-03-02,22397.97692,One-way
166,81,Domestic,2022-05-15,3,2022-04-23,8026.242598,One-way
167,81,Domestic,2022-11-02,1,2022-10-16,2647.107466,Open Jaw
168,81,Domestic,2022-11-25,1,2022-11-12,4921.264211,Open Jaw
169,82,Short Haul,2022-05-12,1,2022-03-03,6862.792965,Round-Trip
170,82,Long Haul,2022-11-05,3,2022-09-18,72313.36308,Round-Trip
171,83,Domestic,2022-04-07,1,2022-03-24,6734.368654,Round-Trip
172,84,Short Haul,2022-11-30,1,2022-09-20,10570.68979,Round-Trip
173,84,Domestic,2022-06-08,3,2022-05-26,4278.304998,One-way
174,85,Short Haul,2022-11-22,1,2022-10-06,10408.90358,Round-Trip
175,85,Domestic,2022-05-21,1,2022-05-03,5824.16542,Round-Trip
176,85,Long Haul,2022-11-22,1,2022-09-22,12532.01153,One-way
177,86,Domestic,2022-11-14,4,2022-10-29,1194.623641,One-way
178,86,Long Haul,2022-12-14,4,2022-10-24,27999.56679,One-way
179,86,Short Haul,2022-12-20,3,2022-10-25,21287.04801,Round-Trip
180,87,Short Haul,2022-05-16,3,2022-03-26,28778.82665,Open Jaw
181,87,Domestic,2022-05-14,1,2022-05-01,1282.124635,Round-Trip
182,88,Domestic,2022-10-22,1,2022-10-07,1000,One-way
183,89,Long Haul,2022-11-07,3,2022-09-11,23342.55528,One-way
184,89,Domestic,2022-10-25,1,2022-10-11,4639.931431,Round-Trip
185,90,Domestic,2022-11-02,1,2022-10-24,4779.514223,Round-Trip
186,90,Domestic,2022-12-03,1,2022-11-23,2546.053891,Round-Trip
187,91,Long Haul,2022-11-29,1,2022-10-14,9542.535821,One-way
188,91,Long Haul,2022-06-15,1,2022-04-08,10215.64779,One-way
189,92,Domestic,2022-11-02,1,2022-10-14,1000,One-way
190,92,Long Haul,2022-06-01,1,2022-03-26,16842.85041,Open Jaw
191,92,Short Haul,2022-04-16,1,2022-02-24,3904.021802,One-way
192,92,Domestic,2022-12-21,3,2022-12-06,12713.20114,Round-Trip
193,92,Domestic,2022-06-05,1,2022-05-19,3687.452443,One-way
194,92,Long Haul,2022-11-22,1,2022-09-05,14269.8655,One-way
195,93,Domestic,2022-11-11,5,2022-10-29,1397.141416,One-way
196,93,Domestic,2022-11-19,3,2022-11-07,9167.41892,One-way
197,94,Domestic,2022-04-26,2,2022-04-18,8432.523124,One-way
198,94,Domestic,2022-05-27,1,2022-05-13,1073.795714,One-way
199,95,Short Haul,2022-05-11,1,2022-03-03,13748.74125,Round-Trip
200,95,Short Haul,2022-05-09,3,2022-03-05,27608.86757,One-way
201,96,Long Haul,2022-05-16,1,2022-03-23,5826.25624,One-way
202,96,Short Haul,2022-11-16,1,2022-09-08,6882.159936,One-way
203,97,Short Haul,2022-10-29,1,2022-09-04,8583.629325,Round-Trip
204,98,Domestic,2022-11-16,1,2022-11-01,1000,One-way
205,99,Domestic,2022-11-02,1,2022-10-22,1913.91676,Round-Trip
206,100,Domestic,2022-11-06,1,2022-10-21,1000,One-way
207,100,Domestic,2022-04-16,1,2022-03-31,2041.539283,One-way
208,101,Domestic,2022-12-10,1,2022-11-27,2249.976966,One-way
209,101,Domestic,2022-11-07,1,2022-10-26,4300.908328,One-way
210,102,Domestic,2022-06-16,2,2022-05-31,1978.47926,One-way
211,102,Short Haul,2022-04-07,2,2022-01-27,13978.02507,Round-Trip
212,103,Domestic,2022-11-23,1,2022-11-09,3039.060582,Open Jaw
213,104,Long Haul,2022-04-22,3,2022-03-06,26685.49385,One-way
214,105,Short Haul,2022-05-22,1,2022-03-13,7015.439965,One-way
215,106,Domestic,2022-12-26,1,2022-12-17,2744.451013,One-way
216,107,Domestic,2022-10-12,2,2022-09-27,5851.401694,One-way
217,107,Long Haul,2022-10-22,1,2022-08-19,21105.29513,Round-Trip
218,107,Short Haul,2022-06-28,1,2022-04-15,10753.05316,Round-Trip
219,108,Domestic,2022-11-16,1,2022-10-31,1000,One-way
220,109,Long Haul,2022-11-06,1,2022-09-10,14446.23811,One-way
221,109,Domestic,2022-04-20,1,2022-04-07,1708.225663,One-way
222,109,Domestic,2022-12-02,4,2022-11-18,16978.89817,Round-Trip
223,110,Long Haul,2022-11-06,1,2022-09-06,14687.6939,Round-Trip
224,111,Domestic,2022-11-21,1,2022-11-08,1312.378681,Round-Trip
225,111,Short Haul,2022-11-18,1,2022-09-10,17750.32605,Round-Trip
226,112,Domestic,2022-05-18,1,2022-05-10,3001.851591,Round-Trip
227,113,Domestic,2022-11-29,1,2022-11-10,2335.383799,One-way
228,114,Long Haul,2022-10-15,3,2022-08-30,21821.19066,One-way
229,114,Domestic,2022-04-21,2,2022-04-08,1889.996269,One-way
230,114,Domestic,2022-05-11,1,2022-04-27,5567.989692,Round-Trip
231,115,Domestic,2022-05-26,1,2022-05-10,3245.417577,Round-Trip
232,116,Long Haul,2022-05-25,3,2022-03-29,43773.0522,One-way
233,116,Long Haul,2022-04-17,1,2022-02-27,14745.42217,One-way
234,117,Domestic,2022-11-13,1,2022-10-26,5455.186163,Round-Trip
235,117,Domestic,2022-11-29,3,2022-11-13,4593.136238,One-way
236,118,Long Haul,2022-12-30,2,2022-11-05,44342.14307,Round-Trip
237,118,Domestic,2022-04-03,2,2022-03-17,3188.10392,One-way
238,119,Short Haul,2022-05-02,1,2022-02-22,6981.49646,One-way
239,119,Short Haul,2022-11-12,3,2022-08-31,22460.42608,One-way
240,119,Domestic,2022-10-25,1,2022-10-12,1186.576342,One-way
241,120,Domestic,2022-11-01,1,2022-10-12,3169.68726,Round-Trip
242,120,Domestic,2022-05-03,1,2022-04-13,1000,One-way
243,120,Domestic,2022-10-30,1,2022-10-20,8657.984045,Round-Trip
244,121,Long Haul,2022-05-21,5,2022-04-06,38776.46254,One-way
245,121,Domestic,2022-11-18,1,2022-11-04,1000,One-way
246,122,Domestic,2022-12-19,1,2022-12-05,1262.952124,One-way
247,122,Long Haul,2022-06-03,1,2022-04-02,7781.568781,One-way
248,122,Domestic,2022-04-04,3,2022-03-15,6980.379602,One-way
249,123,Domestic,2022-11-04,5,2022-10-15,29769.08123,Round-Trip
250,123,Domestic,2022-05-08,3,2022-04-21,2540.053848,One-way
251,124,Domestic,2022-11-14,2,2022-10-29,2269.51903,One-way
252,125,Long Haul,2022-05-25,2,2022-03-17,17969.62217,One-way
253,125,Domestic,2022-10-16,1,2022-09-29,2200.453252,One-way
254,126,Domestic,2022-11-25,4,2022-11-06,18904.16831,Round-Trip
255,126,Domestic,2022-05-28,1,2022-05-17,2444.208421,One-way
256,126,Short Haul,2022-05-19,5,2022-03-16,58837.81426,Round-Trip
257,127,Domestic,2022-04-24,1,2022-04-19,2711.600671,Round-Trip
258,128,Domestic,2022-01-04,1,2021-12-13,1000,One-way
259,128,Short Haul,2022-12-01,1,2022-09-30,13314.97565,Round-Trip
260,129,Domestic,2022-09-26,1,2022-09-13,4119.348689,One-way
261,130,Short Haul,2022-11-14,1,2022-09-15,11679.83264,Round-Trip
262,130,Domestic,2022-04-16,1,2022-04-05,1634.216452,One-way
263,131,Domestic,2022-10-31,1,2022-10-17,4291.59209,Round-Trip
264,131,Long Haul,2022-11-19,1,2022-09-22,15597.2435,One-way
265,132,Domestic,2022-05-17,2,2022-05-03,3605.673067,Round-Trip
266,132,Long Haul,2022-05-06,4,2022-03-11,48105.14942,One-way
267,133,Domestic,2022-10-28,3,2022-10-14,3038.490198,Round-Trip
268,134,Domestic,2022-06-16,2,2022-05-27,4346.077426,One-way
269,134,Short Haul,2022-12-30,1,2022-10-28,5969.527904,One-way
270,135,Long Haul,2022-05-14,3,2022-03-20,15805.65225,One-way
271,135,Domestic,2022-11-06,1,2022-10-29,2954.897506,One-way
272,136,Domestic,2022-11-18,3,2022-11-04,2789.865908,One-way
273,137,Domestic,2022-11-12,1,2022-10-31,3033.648336,One-way
274,137,Domestic,2022-11-14,3,2022-10-27,5581.09009,One-way
275,138,Short Haul,2022-11-02,1,2022-09-09,6297.956901,One-way
276,138,Long Haul,2022-06-03,4,2022-04-01,57307.47773,Open Jaw
277,139,Short Haul,2022-11-19,5,2022-09-13,58471.72117,Round-Trip
278,139,Domestic,2022-10-09,3,2022-09-24,5475.563978,One-way
279,140,Domestic,2022-12-09,1,2022-11-24,1545.906826,One-way
280,140,Domestic,2022-11-04,3,2022-10-15,10913.95683,Open Jaw
281,141,Domestic,2022-12-07,3,2022-11-21,1625.099914,One-way
282,141,Long Haul,2022-04-28,2,2022-03-09,48824.5328,Open Jaw
283,141,Long Haul,2022-11-02,4,2022-09-14,52357.20921,One-way
284,142,Long Haul,2022-11-10,6,2022-09-11,45660.34913,One-way
285,143,Domestic,2022-12-10,4,2022-11-26,3398.075145,One-way
286,143,Domestic,2022-11-06,1,2022-10-26,1706.537813,One-way
287,143,Long Haul,2022-10-24,3,2022-08-28,43258.48714,Round-Trip
288,143,Short Haul,2022-05-09,1,2022-02-24,10986.05753,Open Jaw
289,144,Domestic,2022-04-27,1,2022-04-05,1242.539816,One-way
290,144,Domestic,2022-12-03,1,2022-11-25,2440.811017,Round-Trip
291,144,Short Haul,2022-05-09,1,2022-03-15,8916.496506,One-way
292,145,Domestic,2022-05-11,3,2022-04-24,4376.096023,One-way
293,145,Domestic,2022-06-03,3,2022-05-11,1872.453598,One-way
294,146,Domestic,2022-12-21,1,2022-12-02,2592.193274,Round-Trip
295,146,Domestic,2022-06-02,1,2022-05-25,1594.281208,Round-Trip
296,147,Short Haul,2022-12-11,1,2022-10-17,10160.04603,Open Jaw
297,148,Domestic,2022-04-22,1,2022-04-10,1504.493992,One-way
298,149,Domestic,2022-11-02,1,2022-10-22,1000,One-way
299,149,Domestic,2022-11-16,3,2022-11-02,8601.408426,Round-Trip
300,150,Domestic,2022-11-24,3,2022-11-07,4640.376317,One-way
301,150,Domestic,2022-05-02,1,2022-04-15,1000,One-way
302,151,Domestic,2022-10-30,5,2022-10-17,19969.62075,Round-Trip
303,151,Short Haul,2022-11-02,4,2022-08-31,26716.34184,One-way
304,151,Domestic,2022-04-14,3,2022-04-02,3557.797158,One-way
305,152,Domestic,2022-11-26,5,2022-11-08,2045.748274,One-way
306,153,Short Haul,2022-10-30,1,2022-09-01,11011.61056,Round-Trip
307,153,Domestic,2022-11-24,1,2022-11-02,5919.214572,Round-Trip
308,154,Short Haul,2022-11-26,4,2022-10-02,25767.66634,One-way
309,155,Short Haul,2022-11-08,1,2022-09-19,9311.227177,Round-Trip
310,156,Domestic,2022-04-19,3,2022-04-06,14915.05654,Open Jaw
311,156,Domestic,2022-11-01,1,2022-10-17,1054.760935,One-way
312,157,Short Haul,2022-04-25,3,2022-02-20,14061.87453,One-way
313,158,Short Haul,2022-05-10,3,2022-03-14,39835.10932,Round-Trip
314,158,Long Haul,2022-10-25,1,2022-09-04,8705.233472,One-way
315,159,Short Haul,2022-05-01,2,2022-03-06,23098.51479,One-way
316,160,Long Haul,2022-06-02,3,2022-03-26,42121.27769,One-way
317,160,Long Haul,2022-10-18,4,2022-08-19,28529.36393,One-way
318,161,Short Haul,2022-10-16,3,2022-08-17,31108.09718,Round-Trip
319,162,Domestic,2022-12-29,1,2022-12-13,2144.817842,One-way
320,163,Domestic,2022-06-02,3,2022-05-17,3508.676126,One-way
321,163,Long Haul,2022-05-29,1,2022-04-04,20153.71582,Round-Trip
322,163,Domestic,2022-10-18,3,2022-09-28,1595.376231,One-way
323,163,Domestic,2022-04-26,3,2022-04-18,20671.7142,Open Jaw
324,164,Domestic,2022-12-04,4,2022-11-15,10304.28005,One-way
325,164,Domestic,2022-10-20,1,2022-10-07,2433.806648,One-way
326,165,Domestic,2022-05-01,1,2022-04-11,2805.025471,One-way
327,165,Long Haul,2022-11-06,2,2022-08-28,14996.35771,One-way
328,166,Short Haul,2022-11-21,3,2022-09-29,58847.88314,Round-Trip
329,167,Domestic,2022-04-30,1,2022-04-13,1576.57881,One-way
330,168,Short Haul,2022-11-14,1,2022-09-13,5952.239475,One-way
331,169,Domestic,2022-05-29,2,2022-05-09,1290.520744,One-way
332,170,Domestic,2022-10-12,1,2022-09-25,3173.810863,One-way
333,170,Domestic,2022-05-08,4,2022-04-21,21266.52236,Round-Trip
334,171,Short Haul,2022-10-21,1,2022-08-24,6126.571222,Round-Trip
335,172,Short Haul,2022-05-13,1,2022-03-12,13530.49493,Round-Trip
336,172,Long Haul,2022-04-06,1,2022-02-01,9073.458072,One-way
337,173,Long Haul,2022-06-08,1,2022-04-09,30698.69167,Round-Trip
338,173,Domestic,2022-12-01,4,2022-11-25,10444.67241,One-way
339,174,Domestic,2022-11-25,2,2022-11-14,6540.611497,One-way
340,174,Domestic,2022-05-15,3,2022-04-26,9837.790314,Open Jaw
341,175,Domestic,2022-11-16,1,2022-10-30,2511.677146,One-way
342,176,Domestic,2022-11-27,1,2022-11-08,1414.80273,One-way
343,176,Domestic,2022-12-01,1,2022-11-14,1336.962292,One-way
344,176,Domestic,2022-10-14,1,2022-10-02,1690.079265,Open Jaw
345,177,Domestic,2022-04-27,1,2022-04-11,1441.201263,One-way
346,178,Domestic,2022-11-20,5,2022-10-29,6003.889218,One-way
347,178,Domestic,2022-11-12,1,2022-10-26,1266.849134,One-way
348,179,Short Haul,2022-12-22,3,2022-10-29,42554.54987,Round-Trip
349,179,Long Haul,2022-11-21,1,2022-09-14,15138.82823,Round-Trip
350,180,Long Haul,2022-05-27,1,2022-03-23,10356.06479,One-way
351,181,Long Haul,2022-11-14,1,2022-09-04,4575.904319,One-way
352,182,Short Haul,2022-10-28,3,2022-08-31,42040.42919,Open Jaw
353,183,Domestic,2022-04-28,1,2022-04-16,1000,Round-Trip
354,183,Domestic,2022-05-29,1,2022-05-15,4081.084408,Round-Trip
355,184,Domestic,2022-05-13,1,2022-04-24,2882.224761,One-way
356,184,Long Haul,2022-10-27,1,2022-08-31,21522.53649,Round-Trip
357,185,Long Haul,2022-11-06,1,2022-09-21,25502.58913,Round-Trip
358,185,Short Haul,2022-06-01,3,2022-04-08,11404.1822,One-way
359,186,Long Haul,2022-11-11,5,2022-09-19,44896.44765,One-way
360,186,Domestic,2022-06-02,4,2022-05-08,12426.1021,Round-Trip
361,187,Domestic,2022-11-02,3,2022-10-21,5225.810637,One-way
362,187,Domestic,2022-05-29,2,2022-05-16,3586.63045,One-way
363,188,Short Haul,2022-12-10,3,2022-10-24,17453.32967,One-way
364,189,Long Haul,2022-05-24,3,2022-03-27,30975.97977,One-way
365,190,Domestic,2022-06-04,3,2022-05-19,7255.617374,One-way
366,190,Domestic,2022-11-17,1,2022-11-01,1250.791687,One-way
367,191,Short Haul,2022-05-27,1,2022-04-02,14503.23737,Round-Trip
368,192,Domestic,2022-11-01,3,2022-10-19,21184.50207,Round-Trip
369,193,Domestic,2022-04-30,3,2022-04-19,2408.82714,One-way
370,194,Domestic,2022-10-14,2,2022-09-26,1322.536549,One-way
371,194,Short Haul,2022-11-16,5,2022-09-30,23583.94667,One-way
372,194,Short Haul,2022-04-20,3,2022-02-12,11054.87744,One-way
373,195,Domestic,2022-10-28,1,2022-10-08,2668.602939,Round-Trip
374,195,Long Haul,2022-05-27,1,2022-03-17,14271.95901,Round-Trip
375,195,Long Haul,2022-10-18,8,2022-08-24,49079.90583,One-way
376,195,Domestic,2022-04-26,3,2022-04-13,15824.30895,Round-Trip
377,196,Short Haul,2022-12-27,5,2022-11-12,51701.87821,Round-Trip
378,197,Domestic,2022-05-18,1,2022-04-29,1486.129536,One-way
379,197,Domestic,2022-06-08,3,2022-05-22,13102.59716,Round-Trip
380,198,Domestic,2022-10-10,3,2022-10-03,2668.799843,Round-Trip
381,199,Short Haul,2022-06-22,5,2022-04-26,41337.99173,Round-Trip
382,199,Domestic,2022-05-27,4,2022-05-12,12940.60904,One-way
